OKR Number,Other Names,Collection / Location,City / State,Country,Collection Number,Comments,KH Issue Date
KH0001,"LL001, UR176",American Museum of Natural History,"New York, NY",USA,B/8705,,2/12/24
KH0002,AS001,National Museum of the American Indian,"New York, NY; 
Washington D.C.",USA,17/8826,,2/12/24
KH0003,AS002,National Museum of the American Indian,"New York, NY; 
Washington D.C.",USA,17/8832,,2/12/24
KH0004,AS003,National Museum of the American Indian,"New York, NY; 
Washington D.C.",USA,17/8827,,2/12/24
KH0005,AS004,National Museum of the American Indian,"New York, NY; 
Washington D.C.",USA,17/8821,,2/12/24
KH0006,AS005,National Museum of the American Indian,"New York, NY; 
Washington D.C.",USA,17/8831,,2/12/24
KH0007,AS006,National Museum of the American Indian,"New York, NY; 
Washington D.C.",USA,17/8838,,2/12/24
KH0008,AS007,National Museum of the American Indian,"New York, NY; 
Washington D.C.",USA,17/8825,,2/12/24
KH0009,AS008,"Pitt Rivers Museum, University of Oxford",Oxford,England,"1931.32.1, VIII. 502",,2/12/24
KH0010,AS009,"Pitt Rivers Museum, University of Oxford",Oxford,England,"1925.55.2, L. I. 39",,2/12/24
KH0011,AS010,Niedersächsisches Landesmuseum,Hannover,Germany,6271,,2/12/24
KH0012,AS011,Niedersächsisches Landesmuseum,Hannover,Germany,10087,,2/12/24
KH0013,AS012,Niedersächsisches Landesmuseum,Hannover,Germany,10217,,2/12/24
KH0014,AS013,Niedersächsisches Landesmuseum,Hannover,Germany,10086,,2/12/24
KH0015,AS014,British Museum,London,England,"Am1907,0319.286",,2/12/24
KH0016,AS015,Penn Museum,"Philadelphia, PA",USA,SA4035,,2/12/24
KH0017,AS016,Penn Museum,"Philadelphia, PA",USA,SA4032,,2/12/24
KH0018,AS017,Penn Museum,"Philadelphia, PA",USA,SA4029,,2/12/24
KH0019,AS018,Penn Museum,"Philadelphia, PA",USA,CG852611-6382,,2/12/24
KH0020,AS019,Penn Museum,"Philadelphia, PA",USA,SA4033,,2/12/24
KH0021,AS020,Penn Museum,"Philadelphia, PA",USA,SA4034,,2/12/24
KH0022,AS021,Penn Museum,"Philadelphia, PA",USA,SA4040,,2/12/24
KH0023,AS022,Penn Museum,"Philadelphia, PA",USA,SA4037,This khipu was not initially entered into the OKR. It is re-introduced here.,2/12/24
KH0024,AS023,Penn Museum,"Philadelphia, PA",USA,SA4038,,2/12/24
KH0025,AS024,Penn Museum,"Philadelphia, PA",USA,SA4036,,2/12/24
KH0026,AS025,Penn Museum,"Philadelphia, PA",USA,SA4041,,2/12/24
KH0027,AS026A,Penn Museum,"Philadelphia, PA",USA,SA4030,,2/12/24
KH0028,AS026B,Penn Museum,"Philadelphia, PA",USA,SA4030,,2/12/24
KH0029,AS027,Penn Museum,"Philadelphia, PA",USA,SA4039,,2/12/24
KH0030,AS028,Penn Museum,"Philadelphia, PA",USA,SA4031,,2/12/24
KH0031,AS029,Wereldmuseum,Rotterdam,Netherlands,WM-40148,,2/12/24
KH0032,"AS030, UR043",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41-70.30/3110,,2/12/24
KH0033,"AS031, UR1031, UR044",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,32-70-30/F851,UR044 (KHIPU_ID 10001012) is an unfinished duplicate of AS031. The more complete  UR1031 (KHIPU_ID 1000097) is retained as the canonical version.,2/12/24
KH0034,"AS032, UR1032",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,42.28.30/4532,,2/12/24
KH0035,"AS033A, UR1033A",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41.52.30/293B,,2/12/24
KH0036,"AS033B, UR1033B",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41.52.30/293B,,2/12/24
KH0037,"AS033C, UR1033C",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41.52.30/293B,,2/12/24
KH0038,"AS033D, UR1033D",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41.52.30/293B,,2/12/24
KH0039,"AS033E, UR1033E",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41.52.30/293B,,2/12/24
KH0040,"AS033F, UR1033F",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41.52.30/293B,,2/12/24
KH0041,"AS033G, UR1033G",Peabody Museum of Archaeology and Ethnology,"Cambridge, MA",USA,41.52.30/293B,,2/12/24
KH0042,"AS034, UR1034",Smithsonian National Museum of Natural History,Washington D.C.,USA,365240,,2/12/24
KH0043,AS035A,Brooklyn Museum,"Brooklyn, NY",USA,"70.177.69, X591a",,2/12/24
KH0044,AS035B,Brooklyn Museum,"Brooklyn, NY",USA,"70.177.69, X591a",,2/12/24
KH0045,AS035C,Brooklyn Museum,"Brooklyn, NY",USA,"70.177.69, X591a",,2/12/24
KH0046,AS035D,Brooklyn Museum,"Brooklyn, NY",USA,"70.177.69, X591a",,2/12/24
KH0047,AS036,Museo Jacinto Jijón y Caamaño,Quito,Ecuador,P501A,,2/12/24
KH0048,AS037,Museo Jacinto Jijón y Caamaño,Quito,Ecuador,P501B,,2/12/24
KH0049,"AS038, HP036","Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,"MNAAHP3550, 3884-147",,2/12/24
KH0050,AS039,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,17/543,,2/12/24
KH0051,"AS040, UR1040","Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,n/a,,2/12/24
KH0052,AS041,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,V17/559,,2/12/24
KH0053,AS042,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,17/569,,2/12/24
KH0054,AS043,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,0908-a,,2/12/24
KH0055,AS044,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,17/579,,2/12/24
KH0056,AS045,"Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,17/560,,2/12/24
KH0057,"AS046, HP041","Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,"MNAAHP5693, 17/565",,2/12/24
KH0058,"AS047, HP035","Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,"MNAAHP1748, 3882",,2/12/24
KH0059,AS048,Museo Amano,Lima,Peru,R2700,,2/12/24
KH0060,"AS049, UR1049",Museo Amano,Lima,Peru,R2699,,2/12/24
KH0061,AS050,Ana Maria Soldi,Lima,Peru,1,,2/12/24
KH0062,"AS051, UR1051","Museo Nacional de Arqueología, Antropología e Historia del Perú",Lima,Peru,5,,2/12/24
KH0063,"AS052, UR1052",Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,6,,2/12/24
KH0064,"AS053, UR1053",Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,2,,2/12/24
KH0065,AS054,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,3,,2/12/24
KH0066,AS055,Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,4A,,2/12/24
KH0067,"AS056, UR163",Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,4B,,2/12/24
KH0068,"AS057, UR1057",Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,7,,2/12/24
KH0069,"AS058, UR1058",Museo Regional de Ica Adolfo Bermúdez Jenkins,Ica,Peru,1,,2/12/24
KH0070,AS059,Óscar Núñez del Prado,Cuzco,Peru,5B,,2/12/24
KH0071,AS060,Óscar Núñez del Prado,Cuzco,Peru,6B,,2/12/24
KH0072,AS061/MA036,Óscar Núñez del Prado,Cuzco,Peru,8B,,2/12/24
KH0073,AS062,Óscar Núñez del Prado,Cuzco,Peru,4B,,2/12/24
KH0074,AS063(A),Óscar Núñez del Prado,Cuzco,Peru,7B,"Two khipus tied together. Split into AS063 and AS063B in the OKR, though initially recorded  by the Aschers only as AS063.",2/12/24
KH0075,AS063B,Óscar Núñez del Prado,Cuzco,Peru,7B,,2/12/24
KH0076,AS064,Óscar Núñez del Prado,Cuzco,Peru,3B,,2/12/24
